Language,Greater London,Inner London,Outer London,City of London,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster
Zulu,110,50,70,0,10,0,10,0,0,0,10,0,0,10,10,0,0,0,0,0,10,0,0,0,10,10,10,10,0,0,0,10,0,0,0,0
Kikuyu/Gikuyu,90,40,50,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0
Luo (Kenya/Tanzania),90,50,40,0,10,0,0,0,0,0,10,0,0,10,0,0,0,0,0,10,0,0,0,0,10,10,0,10,0,0,10,0,0,0,0,0
Dinka/Jieng,80,80,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinyarwanda,80,40,40,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0
Chichewa/Nyanja,70,30,40,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
Xhosa,60,30,40,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Lango (Uganda),60,40,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,20,0,0,0,0,0
Creoles and Pidgins,3.200,1.760,1.440,0,40,40,20,70,10,20,250,60,300,110,120,40,160,10,10,60,70,50,20,20,180,310,70,370,150,10,250,20,40,140,150,40
Guarani,170,40,130,0,0,0,0,10,0,0,10,30,0,10,0,0,0,20,0,20,0,0,0,0,0,0,0,30,20,0,0,0,0,0,10,0
Other than English,66.280,27.440,38.840,20,1.150,2.810,880,7.740,1.780,890,2.320,900,2.450,970,1.650,430,3.960,510,230,920,4.300,940,370,580,1.840,1.490,1.160,5.250,4.240,550,2.690,1.170,2.270,4.180,1.670,3.960
Others,1.170,600,570,0,30,70,20,50,10,40,40,40,30,50,50,20,20,30,10,40,40,30,30,10,60,60,30,70,40,10,160,10,10,30,20,20
Unknown,7.120,2.430,4.680,10,60,160,300,240,700,40,160,70,690,340,190,70,170,210,370,70,380,80,30,200,140,440,80,460,30,70,370,40,270,530,120,70
Total,1.012.030,342.260,668.610,250,30.210,44.060,36.210,40.530,42.620,18.600,50.400,42.900,47.510,35.590,28.180,14.590,32.490,30.590,32.700,39.340,32.870,20.400,8.360,19.120,32.400,36.900,23.190,45.870,40.710,17.410,33.110,27.790,32.210,35.450,24.730,14.780
